Date,Open,High,Low,Close,Adj Close,Volume
2022-01-17,30.610001,30.780001,30.030001,30.350000,29.818134,5187200
2022-01-18,30.309999,30.780001,29.889999,30.540001,30.004803,9922400
2022-01-19,30.809999,31.299999,30.450001,30.500000,29.965504,6666600
2022-01-20,30.570000,31.180000,30.340000,30.740000,30.201294,6339400
2022-01-21,30.690001,30.750000,30.129999,30.610001,30.073576,6589400
2022-01-24,30.549999,30.559999,29.330000,29.900000,29.376019,10710400
2022-01-25,29.870001,30.340000,29.620001,30.200001,29.670759,7030700
2022-01-26,30.450001,31.340000,30.260000,30.740000,30.201294,12183300
2022-01-27,30.990000,32.500000,30.750000,32.400002,31.832209,10350400
2022-01-28,32.330002,32.330002,30.959999,31.620001,31.065876,9012800
2022-01-31,31.629999,32.500000,31.430000,32.160000,31.596413,7201500
2022-02-01,32.099998,32.689999,31.770000,32.060001,31.498165,4459400
2022-02-02,32.209999,32.919998,31.660000,31.770000,31.213249,4925100
2022-02-03,31.820000,32.110001,30.870001,30.950001,30.407618,5506300
2022-02-04,30.959999,30.980000,30.440001,30.850000,30.309370,5170800
2022-02-07,30.900000,31.340000,30.520000,31.000000,30.456741,5010100
2022-02-08,30.770000,30.940001,30.049999,30.219999,29.690409,6430500
2022-02-09,30.540001,30.969999,30.270000,30.290001,29.759184,5009700
2022-02-10,30.290001,30.549999,29.620001,29.740000,29.218821,8569200
2022-02-11,29.799999,30.010000,29.459999,29.530001,29.012501,9352700
2022-02-14,29.500000,30.940001,29.500000,30.440001,29.906557,10962400
2022-02-15,31.000000,32.880001,30.959999,32.880001,32.303795,11758400
2022-02-16,33.000000,33.169998,30.770000,31.299999,30.751482,20714400
2022-02-17,31.559999,31.820000,30.570000,30.650000,30.112875,8085500
2022-02-18,30.830000,31.000000,29.680000,29.809999,29.287594,6716700
2022-02-21,29.809999,29.889999,29.360001,29.520000,29.203709,4769200
2022-02-22,29.799999,30.090000,29.530001,29.530001,29.213598,5137500
2022-02-23,29.610001,30.170000,28.500000,28.600000,28.293566,7304600
2022-02-24,27.740000,29.570000,27.520000,29.320000,29.005850,9964800
2022-02-25,28.980000,29.860001,28.799999,29.400000,29.084991,13633700
2022-03-02,29.400000,30.790001,29.350000,30.250000,29.925884,10503800
2022-03-03,30.250000,31.389999,30.129999,31.250000,30.915169,10167600
2022-03-04,31.250000,32.279999,31.070000,31.510000,31.172384,9286000
2022-03-07,31.010000,31.969999,30.850000,31.080000,30.746990,11272000
2022-03-08,31.080000,32.099998,31.080000,31.570000,31.231741,9613000
2022-03-09,31.850000,32.849998,31.530001,32.669998,32.319954,8949000
2022-03-10,32.369999,32.389999,31.180000,31.719999,31.380135,6884800
2022-03-11,31.820000,32.070000,31.110001,31.389999,31.053671,4591900
2022-03-14,31.389999,31.559999,30.940001,31.020000,30.687635,4247300
2022-03-15,30.900000,31.959999,30.100000,30.200001,29.876421,10034200
2022-03-16,30.299999,32.020000,29.730000,31.980000,31.637348,12743400
2022-03-17,32.000000,33.250000,31.510000,33.099998,32.745346,10140900
2022-03-18,33.029999,33.389999,32.509998,33.290001,32.933311,12356000
2022-03-21,33.150002,33.290001,32.009998,32.549999,32.201241,8384300
2022-03-22,32.980000,33.470001,32.709999,33.000000,32.646416,7019900
2022-03-23,32.919998,33.099998,32.380001,32.750000,32.399101,8557300
2022-03-24,32.930000,33.480000,32.650002,33.130001,32.775024,7001100
2022-03-25,33.279999,33.580002,32.419998,32.880001,32.527702,7154700
2022-03-28,33.000000,33.939999,32.750000,33.599998,33.277195,8764800
2022-03-29,34.000000,34.410000,33.770000,33.950001,33.623837,6285900
2022-03-30,33.950001,34.389999,33.860001,34.150002,33.821915,5573300
2022-03-31,34.369999,35.299999,34.369999,34.869999,34.534996,11060600
2022-04-01,35.200001,35.830002,35.090000,35.380001,35.040100,12134000
2022-04-04,35.400002,35.400002,34.509998,35.020000,34.683556,5428600
